sepal_width,petal_perimeter,class
5,0,Iris-setosa
3,0,Iris-setosa
4,0,Iris-setosa
3,1,Iris-setosa
5,0,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
2,0,Iris-setosa
3,0,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
3,0,Iris-setosa
3,0,Iris-setosa
5,0,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
5,0,Iris-setosa
4,1,Iris-setosa
5,1,Iris-setosa
3,1,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
5,0,Iris-setosa
4,1,Iris-setosa
3,1,Iris-setosa
5,1,Iris-setosa
5,0,Iris-setosa
5,0,Iris-setosa
3,0,Iris-setosa
4,0,Iris-setosa
5,0,Iris-setosa
3,0,Iris-setosa
3,0,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
0,1,Iris-setosa
4,0,Iris-setosa
5,1,Iris-setosa
5,1,Iris-setosa
3,1,Iris-setosa
5,1,Iris-setosa
4,0,Iris-setosa
5,1,Iris-setosa
4,0,Iris-setosa
4,3,Iris-versicolor
4,3,Iris-versicolor
3,3,Iris-versicolor
0,2,Iris-versicolor
1,3,Iris-versicolor
1,3,Iris-versicolor
4,3,Iris-versicolor
0,2,Iris-versicolor
2,3,Iris-versicolor
1,2,Iris-versicolor
0,2,Iris-versicolor
3,3,Iris-versicolor
0,2,Iris-versicolor
2,3,Iris-versicolor
2,2,Iris-versicolor
3,3,Iris-versicolor
3,3,Iris-versicolor
1,2,Iris-versicolor
0,3,Iris-versicolor
0,2,Iris-versicolor
4,4,Iris-versicolor
1,2,Iris-versicolor
0,3,Iris-versicolor
1,3,Iris-versicolor
2,2,Iris-versicolor
3,3,Iris-versicolor
1,3,Iris-versicolor
3,4,Iris-versicolor
2,3,Iris-versicolor
0,2,Iris-versicolor
0,2,Iris-versicolor
0,2,Iris-versicolor
1,2,Iris-versicolor
1,4,Iris-versicolor
3,3,Iris-versicolor
5,3,Iris-versicolor
3,3,Iris-versicolor
0,3,Iris-versicolor
3,2,Iris-versicolor
0,2,Iris-versicolor
0,2,Iris-versicolor
3,3,Iris-versicolor
0,2,Iris-versicolor
0,2,Iris-versicolor
1,2,Iris-versicolor
3,2,Iris-versicolor
2,2,Iris-versicolor
2,2,Iris-versicolor
0,2,Iris-versicolor
1,2,Iris-versicolor
4,5,Iris-virginica
1,4,Iris-virginica
3,5,Iris-virginica
2,4,Iris-virginica
3,5,Iris-virginica
3,5,Iris-virginica
0,3,Iris-virginica
2,5,Iris-virginica
0,4,Iris-virginica
5,5,Iris-virginica
4,4,Iris-virginica
1,4,Iris-virginica
3,4,Iris-virginica
0,4,Iris-virginica
1,5,Iris-virginica
4,5,Iris-virginica
3,4,Iris-virginica
5,5,Iris-virginica
0,5,Iris-virginica
0,3,Iris-virginica
4,5,Iris-virginica
1,4,Iris-virginica
1,5,Iris-virginica
1,4,Iris-virginica
4,5,Iris-virginica
4,4,Iris-virginica
1,4,Iris-virginica
3,4,Iris-virginica
1,5,Iris-virginica
3,4,Iris-virginica
1,5,Iris-virginica
5,5,Iris-virginica
1,5,Iris-virginica
1,3,Iris-virginica
0,4,Iris-virginica
3,5,Iris-virginica
5,5,Iris-virginica
3,4,Iris-virginica
3,4,Iris-virginica
3,4,Iris-virginica
3,5,Iris-virginica
3,5,Iris-virginica
1,4,Iris-virginica
4,5,Iris-virginica
4,5,Iris-virginica
3,5,Iris-virginica
0,4,Iris-virginica
3,4,Iris-virginica
5,5,Iris-virginica
3,4,Iris-virginica
